Node Number	X Location (m)	Y Location (m)	Z Location (m)	Minimum Principal Elastic Strain (m/m)
1	0.15681	6.607e-002	0.	-1.4436e-004
2	0.14586	7.9814e-002	0.	-1.488e-004
3	0.16139	4.6338e-002	0.	-1.0176e-004
4	0.12419	9.5188e-002	0.	-2.5777e-004
5	0.15952	0.11662	0.	-8.6769e-005
6	0.10612	1.3436e-002	0.	-7.3736e-005
7	9.9903e-002	3.4255e-002	0.	-1.1385e-004
8	0.15181	1.52e-002	0.	-6.2585e-005
9	0.10252	0.13562	0.	-8.7321e-005
10	0.10765	0.12054	0.	-1.0531e-004
11	0.11501	0.10754	0.	-1.3568e-004
12	0.15452	0.13879	0.	-6.1818e-005
13	0.17667	9.9057e-002	0.	-8.4768e-005
14	9.0676e-002	0.10794	0.	-1.3896e-004
15	7.4429e-002	8.6078e-002	0.	-1.2287e-004
16	8.5667e-002	1.9569e-002	0.	-1.0843e-004
17	8.0173e-002	0.12808	0.	-1.1099e-004
18	5.9476e-002	0.12265	0.	-1.2913e-004
19	3.1274e-002	0.11938	0.	-1.3491e-004
20	3.2186e-002	3.0988e-002	0.	-1.3415e-004
21	6.1336e-002	2.5758e-002	0.	-1.362e-004
22	0.17539	2.0118e-002	0.	-7.0494e-005
23	0.19778	3.6937e-002	0.	-7.3279e-005
24	0.22926	3.9318e-002	0.	-6.5868e-005
25	0.26193	3.9532e-002	0.	-5.4478e-005
26	0.29253	3.8168e-002	0.	-4.5406e-005
27	0.32336	3.4611e-002	0.	-3.7459e-005
28	0.35402	3.1683e-002	0.	-3.0628e-005
29	0.38336	3.0899e-002	0.	-2.3885e-005
30	0.41182	3.0452e-002	0.	-1.8365e-005
31	0.44017	3.024e-002	0.	-1.3671e-005
32	0.46836	3.0218e-002	0.	-9.7024e-006
33	0.49653	3.0241e-002	0.	-6.4512e-006
34	0.52476	3.0206e-002	0.	-3.894e-006
35	0.55297	3.0415e-002	0.	-2.0375e-006
36	0.58118	3.0378e-002	0.	-8.7019e-007
37	3.7099e-002	8.8995e-002	0.	-1.3742e-004
38	3.7782e-002	5.9889e-002	0.	-1.3916e-004
39	0.58108	6.084e-002	0.	-1.0056e-006
40	0.58081	9.1279e-002	0.	-1.0136e-006
41	0.5811	0.12174	0.	-8.7578e-007
42	0.55262	0.1218	0.	-2.0566e-006
43	0.52436	0.12171	0.	-3.9309e-006
44	0.49616	0.12176	0.	-6.4939e-006
45	0.46792	0.12174	0.	-9.7721e-006
46	0.43984	0.12166	0.	-1.3729e-005
47	0.41202	0.12187	0.	-1.8349e-005
48	0.38404	0.12232	0.	-2.3663e-005
49	0.35577	0.12398	0.	-2.976e-005
50	0.32928	0.12412	0.	-3.6235e-005
51	0.30133	0.12226	0.	-4.2697e-005
52	0.27376	0.11636	0.	-5.1448e-005
53	0.2443	0.11346	0.	-6.1182e-005
54	0.20642	0.11312	0.	-7.2281e-005
55	0.18128	0.13043	0.	-6.9167e-005
56	0.21867	7.4701e-002	0.	-6.8779e-005
57	0.17819	7.8686e-002	0.	-8.5278e-005
58	0.25247	7.6898e-002	0.	-5.7226e-005
59	0.28825	7.7176e-002	0.	-4.5531e-005
60	0.32398	6.4516e-002	0.	-3.7929e-005
61	0.35403	6.2395e-002	0.	-2.9968e-005
62	0.38279	6.1422e-002	0.	-2.3905e-005
63	0.41143	6.0945e-002	0.	-1.8482e-005
64	0.43968	6.0707e-002	0.	-1.3789e-005
65	0.46761	6.07e-002	0.	-9.8261e-006
66	0.49579	6.0637e-002	0.	-6.5607e-006
67	0.52412	6.0675e-002	0.	-4.011e-006
68	0.55251	6.0719e-002	0.	-2.1574e-006
69	0.55241	9.1236e-002	0.	-2.1651e-006
70	0.4957	9.1197e-002	0.	-6.5737e-006
71	0.46767	9.119e-002	0.	-9.8236e-006
72	0.43969	9.1136e-002	0.	-1.3789e-005
73	0.41146	9.1226e-002	0.	-1.8509e-005
74	0.38307	9.2007e-002	0.	-2.3849e-005
75	0.35546	9.2838e-002	0.	-2.932e-005
76	0.32855	9.4413e-002	0.	-3.5747e-005
77	0.30648	9.7581e-002	0.	-4.1752e-005
78	0.52416	9.1193e-002	0.	-4.0085e-006
79	0.1499	0.12754	0.	-4.9311e-005
80	0.11127	2.4372e-002	0.	-7.3445e-005
81	8.1547e-002	5.1696e-002	0.	-1.2245e-004
82	0.14661	2.4192e-002	0.	-5.6459e-005
83	0.15234	3.2956e-002	0.	-9.8456e-005
84	0.13637	6.6958e-002	0.	-1.4942e-004
85	0.13591	9.2881e-002	0.	-1.976e-004
86	0.14646	8.9478e-002	0.	-1.1306e-004
87	0.10714	9.5831e-002	0.	-1.4649e-004
88	0.11445	7.9694e-002	0.	-1.7204e-004
89	0.13509	9.0635e-002	0.	-2.2935e-004
90	0.12678	8.4027e-002	0.	-1.9081e-004
91	0.12678	8.4027e-002	2.54e-003	-1.0815e-004
92	0.13509	9.0635e-002	2.54e-003	-1.0026e-004
93	0.11445	7.9694e-002	2.54e-003	-6.66e-005
94	0.10714	9.5831e-002	2.54e-003	-7.0048e-005
95	0.14646	8.9478e-002	2.54e-003	-7.3234e-005
96	0.13591	9.2881e-002	2.54e-003	-1.1881e-004
97	0.13637	6.6958e-002	2.54e-003	-8.0096e-005
98	0.15234	3.2956e-002	2.54e-003	-4.5846e-005
99	0.14661	2.4192e-002	2.54e-003	-3.752e-005
